Position	Sample	Noise	Reads
79	SWIFT25207647	0.00307545106615637	14677
80	SWIFT25207647	0.000136286201022146	14677
81	SWIFT25207647	0.000477164280845262	14677
82	SWIFT25207647	6.81384573453257e-05	14677
83	SWIFT25207647	0.00020444323292899	14677
84	SWIFT25207647	6.81570338058888e-05	14673
85	SWIFT25207647	0.000340878101990728	14673
86	SWIFT25207647	0.000136323359007566	14673
87	SWIFT25207647	0.000204498977505112	14673
88	SWIFT25207647	0.000136323359007566	14673
89	SWIFT25207647	0.000613747954173486	14673
90	SWIFT25207647	0.000204498977505112	14673
91	SWIFT25207647	0.000204498977505112	14673
92	SWIFT25207647	6.81570338058888e-05	14673
93	SWIFT25207647	0.00410593307329091	14673
94	SWIFT25207647	0.00424337827664089	14673
95	SWIFT25207647	0.00040908161178155	14673
96	SWIFT25207647	0.000136323359007566	14673
97	SWIFT25207647	0.000272683891199127	14673
98	SWIFT25207647	0.000136323359007566	14673
99	SWIFT25207647	0.000545516535969997	14673
100	SWIFT25207647	0.00040908161178155	14673
101	SWIFT25207647	0.00040908161178155	14673
102	SWIFT25207647	0.00741503604531411	14673
103	SWIFT25207647	6.81570338058888e-05	14673
104	SWIFT25207647	0.000477294422473749	14673
105	SWIFT25207647	0	14673
106	SWIFT25207647	0.00040908161178155	14673
107	SWIFT25207647	0.000340878101990728	14673
108	SWIFT25207647	0.000272683891199127	14673
109	SWIFT25207647	0.000340878101990728	14673
110	SWIFT25207647	6.81570338058888e-05	14673
111	SWIFT25207647	0.00150160398607604	14673
112	SWIFT25207647	0.00218564305716823	14673
113	SWIFT25207647	0.000613747954173486	14673
114	SWIFT25207647	0	14673
115	SWIFT25207647	0.000204498977505112	14673
116	SWIFT25207647	6.81570338058888e-05	14673
117	SWIFT25207647	0.000681988678987929	14673
118	SWIFT25207647	0.000340878101990728	14673
119	SWIFT25207647	0	14673
120	SWIFT25207647	0.000477294422473749	14673
121	SWIFT25207647	0.000136323359007566	14673
122	SWIFT25207647	0.000340878101990728	14673
123	SWIFT25207647	0.00109162857337791	14673
124	SWIFT25207647	6.81570338058888e-05	14673
125	SWIFT25207647	0.000340878101990728	14673
126	SWIFT25207647	0.00040908161178155	14673
127	SWIFT25207647	0.00040908161178155	14673
128	SWIFT25207647	0.000340878101990728	14673
129	SWIFT25207647	0.00040908161178155	14673
130	SWIFT25207647	0.000204498977505112	14673
131	SWIFT25207647	0.000955044682447643	14673
132	SWIFT25207647	0.000340878101990728	14673
133	SWIFT25207647	0.000750238712317556	14673
134	SWIFT25207647	0.000681988678987929	14673
135	SWIFT25207647	0.000681988678987929	14673
136	SWIFT25207647	0.000272683891199127	14673
137	SWIFT25207647	0.00040908161178155	14673
138	SWIFT25207647	0.000750238712317556	14673
139	SWIFT25207647	0.000750238712317556	14673
140	SWIFT25207647	0.000272683891199127	14673
141	SWIFT25207647	0.00143325143325143	14673
142	SWIFT25207647	0.00170671764063353	14673
143	SWIFT25207647	0.000681988678987929	14673
144	SWIFT25207647	0.000545516535969997	14673
145	SWIFT25207647	0.00040908161178155	14673
146	SWIFT25207647	0.000136323359007566	14673
147	SWIFT25207647	0.000136323359007566	14673
148	SWIFT25207647	0.000340878101990728	14673
149	SWIFT25207647	0.000340901343151292	14672
150	SWIFT25207647	0.00040938864628821	14662
151	SWIFT25207647	6.82360968952576e-05	14656
152	SWIFT25207647	0.000273000273000273	14656
153	SWIFT25207647	0.000819448238186288	14656
154	SWIFT25207647	0.00107735401853049	13938
155	SWIFT25207647	0.000149009089554463	13424
156	SWIFT25207647	0.000745489786789921	13424
157	SWIFT25207647	0.00022354694485842	13423
158	SWIFT25207647	0.000745545366435548	13423
159	SWIFT25207647	0.000149020192236048	13423
160	SWIFT25207647	0.000447193858537676	13423
161	SWIFT25207647	0.000298084805127059	13423
162	SWIFT25207647	0.00022354694485842	13423
163	SWIFT25207647	0.00134278254382693	13423
164	SWIFT25207647	0.000745545366435548	13423
165	SWIFT25207647	0.00022354694485842	13423
166	SWIFT25207647	0.000447227191413238	13422
167	SWIFT25207647	0	13422
168	SWIFT25207647	0.000447227191413238	13422
169	SWIFT25207647	0.000969498098292192	13422
170	SWIFT25207647	0.000446993965581465	13429
171	SWIFT25207647	7.31047591198187e-05	13680
172	SWIFT25207647	7.7360461068348e-05	25855
173	SWIFT25207647	0.000231427910205971	25932
174	SWIFT25207647	0.000192804534762658	25938
175	SWIFT25207647	0.000269947167482935	25938
176	SWIFT25207647	0.000192552085339084	25972
177	SWIFT25207647	0.000461716044632551	26002
178	SWIFT25207647	0.0015792920149455	26002
179	SWIFT25207647	0.000153869826127096	26000
180	SWIFT25207647	0.000423581963109862	25980
181	SWIFT25207647	0.00154255524275963	25971
182	SWIFT25207647	0.000321704317986846	27985
183	SWIFT25207647	0.000178724621103803	27981
184	SWIFT25207647	7.15000715000715e-05	27974
185	SWIFT25207647	0.000272201429057503	14699
186	SWIFT25207647	0.000613873542050338	14670
187	SWIFT25207647	0.000342161089440909	14618
188	SWIFT25207647	0.000273710140960723	14618
189	SWIFT25207647	0.000136836343732895	14618
190	SWIFT25207647	0	14618
191	SWIFT25207647	0.000205268559698939	14618
192	SWIFT25207647	0.000205268559698939	14618
193	SWIFT25207647	6.84134911404529e-05	14618
194	SWIFT25207647	0.0109966111072688	14618
195	SWIFT25207647	0.00356995743512289	14618
196	SWIFT25207647	0.00109574030954664	14618
197	SWIFT25207647	0.000821580172531836	14618
198	SWIFT25207647	0.000410621407062688	14618
199	SWIFT25207647	0.000410621407062688	14618
200	SWIFT25207647	0.00246507806080526	14640
201	SWIFT25207647	0.000955794504181601	25134
202	SWIFT25207647	7.95260248916458e-05	25151
203	SWIFT25207647	0.0003181547027242	25153
204	SWIFT25207647	0.000198815062229114	25154
205	SWIFT25207647	0.000636309405448399	25161
206	SWIFT25207647	0.000676024973157832	25164
207	SWIFT25207647	0.000119227406406486	25165
208	SWIFT25207647	0.000437306193845909	25165
209	SWIFT25207647	0.000437306193845909	25165
210	SWIFT25207647	0.000119227406406486	25165
211	SWIFT25207647	0.00139275766016713	25165
212	SWIFT25207647	0.000477080268755218	25165
213	SWIFT25207647	0.00023848324655193	25165
214	SWIFT25207647	0.000675998091299507	25165
215	SWIFT25207647	0.000994470742670751	25164
216	SWIFT25207647	0.000198736038793275	25164
217	SWIFT25207647	0.000636233497693654	25164
218	SWIFT25207647	0.000477099236641221	25164
219	SWIFT25207647	0.00123343810925874	25164
220	SWIFT25207647	0.00035778175313059	25164
221	SWIFT25207647	0.00035778175313059	25164
222	SWIFT25207647	0.000119232144986288	25164
223	SWIFT25207647	0.000238492725971858	25164
224	SWIFT25207647	0.000158982511923688	25164
225	SWIFT25207647	0.000596445186687343	25164
226	SWIFT25207647	0.000755617418969974	25164
227	SWIFT25207647	7.9484937604324e-05	25164
228	SWIFT25207647	0.000158982511923688	25164
229	SWIFT25207647	0.000158982511923688	25164
230	SWIFT25207647	7.9484937604324e-05	25164
231	SWIFT25207647	0.000198736038793275	25164
232	SWIFT25207647	0.000437323579692283	25164
233	SWIFT25207647	7.9484937604324e-05	25164
234	SWIFT25207647	0.000516878056538507	25164
235	SWIFT25207647	0.000795418390073179	25164
236	SWIFT25207647	0.00511263780156574	25164
237	SWIFT25207647	0.000198736038793275	25164
238	SWIFT25207647	0.000994470742670751	25164
239	SWIFT25207647	0.00115376964392282	25164
240	SWIFT25207647	0.000676024973157832	25164
241	SWIFT25207647	0.00278951143699689	25164
242	SWIFT25207647	0.000158982511923688	25164
243	SWIFT25207647	0.000477099236641221	25164
244	SWIFT25207647	0.000238492725971858	25164
245	SWIFT25207647	0.000676024973157832	25164
246	SWIFT25207647	0.000158982511923688	25164
247	SWIFT25207647	0.00107411385606874	25164
248	SWIFT25207647	0.000556660039761431	25164
249	SWIFT25207647	0.00035778175313059	25164
250	SWIFT25207647	0.000119232144986288	25164
251	SWIFT25207647	0.000318015582763555	25164
252	SWIFT25207647	7.9484937604324e-05	25164
253	SWIFT25207647	0.00358937544867193	25164
254	SWIFT25207647	0.000347415230683713	28794
255	SWIFT25207647	6.94613274059667e-05	28795
256	SWIFT25207647	0.00010419199110895	28796
257	SWIFT25207647	0.0010428978655357	28796
258	SWIFT25207647	0.000903467926888595	28804
259	SWIFT25207647	0.000590503317239223	28806
260	SWIFT25207647	0.000382010765757944	28806
261	SWIFT25207647	0.000138869601444244	28808
262	SWIFT25207647	0.000625217089267107	28808
263	SWIFT25207647	0.00121641816981198	28808
264	SWIFT25207647	0.000903342366757001	28808
265	SWIFT25207647	0.000104148585315049	28808
266	SWIFT25207647	0.000277777777777778	28808
267	SWIFT25207647	0.000347246336551149	28808
268	SWIFT25207647	0.000138869601444244	28808
269	SWIFT25207647	0.000138869601444244	28808
270	SWIFT25207647	0.000347246336551149	28808
271	SWIFT25207647	3.47137848439615e-05	28808
272	SWIFT25207647	0.000590462297245667	28808
273	SWIFT25207647	6.94299798653058e-05	28808
274	SWIFT25207647	0.000138869601444244	28808
275	SWIFT25207647	0.000451467268623025	28808
276	SWIFT25207647	0.000243047116419569	28808
277	SWIFT25207647	0.000312510851071218	28808
278	SWIFT25207647	0.000277777777777778	28808
279	SWIFT25207647	0.000486212405362228	28808
280	SWIFT25207647	0	28808
281	SWIFT25207647	0.000208318866745365	28808
282	SWIFT25207647	0.000104148585315049	28808
283	SWIFT25207647	0.000833796553640912	28808
284	SWIFT25207647	0.000104148585315049	28808
285	SWIFT25207647	0.000173593028503975	28808
286	SWIFT25207647	0.000486212405362228	28808
287	SWIFT25207647	0.000243047116419569	28808
288	SWIFT25207647	0.000451467268623025	28808
289	SWIFT25207647	0.000138869601444244	28808
290	SWIFT25207647	0.0017386466374574	28808
291	SWIFT25207647	0.000208318866745365	28808
292	SWIFT25207647	6.94299798653058e-05	28808
293	SWIFT25207647	0.00104246299256376	28808
294	SWIFT25207647	0.000208333333333333	28806
295	SWIFT25207647	0.00713536201469045	28794
296	SWIFT25207647	0.00100876582718798	28777
297	SWIFT25207647	0.000591263216471898	28769
298	SWIFT25207647	0.00059247900184714	28710
299	SWIFT25207647	0.000104595216512098	28685
300	SWIFT25207647	3.4960145434205e-05	28605
301	SWIFT25207647	0.000139913952918955	28593
302	SWIFT25207647	0.000274499039253363	3644
303	SWIFT25207647	0.0010989010989011	3644
304	SWIFT25207647	0.000823949464432848	3644
305	SWIFT25207647	0	3644
306	SWIFT25207647	0.000274499039253363	3644
307	SWIFT25207647	0	3644
308	SWIFT25207647	0.000274499039253363	3644
309	SWIFT25207647	0.00137400384721077	3644
310	SWIFT25207647	0.00192466318394281	3644
311	SWIFT25207647	0.000274499039253363	3644
312	SWIFT25207647	0.000274499039253363	3644
313	SWIFT25207647	0.000274499039253363	3644
314	SWIFT25207647	0.000274499039253363	3644
315	SWIFT25207647	0	3644
316	SWIFT25207647	0.0022002200220022	3644
317	SWIFT25207647	0.000549148819330038	3644
318	SWIFT25207647	0.000823949464432848	3644
319	SWIFT25207647	0.00247592847317744	3644
320	SWIFT25207647	0.000549148819330038	3644
321	SWIFT25207647	0.000549148819330038	3644
322	SWIFT25207647	0.00137400384721077	3644
323	SWIFT25207647	0	3644
324	SWIFT25207647	0.000823949464432848	3644
325	SWIFT25207647	0.000274499039253363	3644
326	SWIFT25207647	0	3644
327	SWIFT25207647	0.000549148819330038	3644
328	SWIFT25207647	0.000823949464432848	3644
329	SWIFT25207647	0.000823949464432848	3644
330	SWIFT25207647	0.0010989010989011	3644
331	SWIFT25207647	0.000549148819330038	3644
332	SWIFT25207647	0.000823949464432848	3644
333	SWIFT25207647	0.000274499039253363	3644
334	SWIFT25207647	0.000274499039253363	3644
335	SWIFT25207647	0	3644
336	SWIFT25207647	0.000823949464432848	3644
337	SWIFT25207647	0.000549148819330038	3644
338	SWIFT25207647	0.000274499039253363	3644
339	SWIFT25207647	0.0022002200220022	3644
340	SWIFT25207647	0.000549148819330038	3644
341	SWIFT25207647	0	3644
342	SWIFT25207647	0	3644
343	SWIFT25207647	0.000274499039253363	3644
344	SWIFT25207647	0.0057963014076732	3644
345	SWIFT25207647	0	9969
346	SWIFT25207647	0	9983
347	SWIFT25207647	0	9984
348	SWIFT25207647	0.000400801603206413	9984
349	SWIFT25207647	0.000300210147102972	9996
350	SWIFT25207647	0	10003
351	SWIFT25207647	0.0003999600039996	10005
352	SWIFT25207647	0.000500150045013504	10002
353	SWIFT25207647	0.000300360432519023	9991
354	SWIFT25207647	0.000100492412822832	9952
355	SWIFT25207647	0.000603257590991353	9952
356	SWIFT25207647	0	9949
357	SWIFT25207647	0.000503068719187041	9944
358	SWIFT25207647	0.000786534528865817	6362
359	SWIFT25207647	0	6362
360	SWIFT25207647	0.000471772291240761	6362
361	SWIFT25207647	0.00188976377952756	6362
362	SWIFT25207647	0	6362
363	SWIFT25207647	0	6362
364	SWIFT25207647	0	6362
365	SWIFT25207647	0.000314465408805031	6362
366	SWIFT25207647	0	6362
367	SWIFT25207647	0.000471772291240761	6362
368	SWIFT25207647	0.00252127324298771	6362
369	SWIFT25207647	0.000629128656810318	6362
370	SWIFT25207647	0.00569079987353778	6362
371	SWIFT25207647	0.00188976377952756	6362
372	SWIFT25207647	0.000314465408805031	6362
373	SWIFT25207647	0.000157207986165697	6362
374	SWIFT25207647	0.000157207986165697	6362
375	SWIFT25207647	0.000629128656810318	6362
376	SWIFT25207647	0.000471772291240761	6362
377	SWIFT25207647	0.000157207986165697	6362
378	SWIFT25207647	0.000314465408805031	6362
379	SWIFT25207647	0.000629128656810318	6362
380	SWIFT25207647	0	6362
381	SWIFT25207647	0.000314465408805031	6362
382	SWIFT25207647	0.000157207986165697	6362
383	SWIFT25207647	0	6362
384	SWIFT25207647	0.000314465408805031	6362
385	SWIFT25207647	0.000471772291240761	6362
386	SWIFT25207647	0.000157207986165697	6362
387	SWIFT25207647	0.000786534528865817	6362
388	SWIFT25207647	0	6362
389	SWIFT25207647	0.000786534528865817	6362
390	SWIFT25207647	0.000157207986165697	6362
391	SWIFT25207647	0.000314465408805031	6362
392	SWIFT25207647	0.000314465408805031	6362
393	SWIFT25207647	0	6363
394	SWIFT25207647	0.000157183275699466	6363
395	SWIFT25207647	0.000314415972331394	6363
396	SWIFT25207647	0.000471698113207547	6363
397	SWIFT25207647	0.000157183275699466	6363
398	SWIFT25207647	0.000157183275699466	6363
399	SWIFT25207647	0.000157183275699466	6363
400	SWIFT25207647	0.000786410821012897	6363
401	SWIFT25207647	0.000157183275699466	6363
402	SWIFT25207647	0.000943841434638981	6363
403	SWIFT25207647	0.000629029721654348	6363
404	SWIFT25207647	0.00110132158590308	6363
405	SWIFT25207647	0.00252087600441153	6363
406	SWIFT25207647	0.000471698113207547	6363
407	SWIFT25207647	0.000157183275699466	6363
408	SWIFT25207647	0.000471698113207547	6363
409	SWIFT25207647	0.000629029721654348	6363
410	SWIFT25207647	0.000157183275699466	6363
411	SWIFT25207647	0.000943841434638981	6363
412	SWIFT25207647	0.000314415972331394	6363
413	SWIFT25207647	0.000471698113207547	6363
414	SWIFT25207647	0.00378608613345954	6363
415	SWIFT25207647	0.000157183275699466	6363
416	SWIFT25207647	0.000471698113207547	6363
417	SWIFT25207647	0.000157183275699466	6363
418	SWIFT25207647	0.000157183275699466	6363
419	SWIFT25207647	0	6363
420	SWIFT25207647	0.000314415972331394	6363
421	SWIFT25207647	0.000629029721654348	6363
422	SWIFT25207647	0.000785916378497328	6367
423	SWIFT25207647	0.000471401634192332	6367
424	SWIFT25207647	0	12498
425	SWIFT25207647	0	12500
426	SWIFT25207647	0.00048023051064511	12500
427	SWIFT25207647	0.000240038406144983	12501
428	SWIFT25207647	0.00248536839573479	12504
429	SWIFT25207647	0.000239884855269471	12509
430	SWIFT25207647	0.000479731350443751	12513
431	SWIFT25207647	0.00015985932379506	12513
432	SWIFT25207647	0.00168107588856868	12513
433	SWIFT25207647	0.000959923206143509	12513
434	SWIFT25207647	0.000239808153477218	12513
435	SWIFT25207647	0.00240326844508532	12513
436	SWIFT25207647	0.000719769673704415	12513
437	SWIFT25207647	0.0012803072737457	12513
438	SWIFT25207647	0.000959923206143509	12513
439	SWIFT25207647	0.00168121047153951	12512
440	SWIFT25207647	7.99296618975302e-05	12512
441	SWIFT25207647	8.0006400512041e-05	12500
442	SWIFT25207647	0.000160668380462725	12450
443	SWIFT25207647	0	12400
444	SWIFT25207647	0.00283171521035599	12395
445	SWIFT25207647	0.000565291124929339	12390
446	SWIFT25207647	0.00113516581529231	12347
447	SWIFT25207647	0.000324096580781073	6173
448	SWIFT25207647	0.0032626427406199	6150
449	SWIFT25207647	0.00130250732660371	6150
450	SWIFT25207647	0.00081366965012205	6150
451	SWIFT25207647	0	6150
452	SWIFT25207647	0	6150
453	SWIFT25207647	0.000325309043591412	6150
454	SWIFT25207647	0.000488042947779405	6150
455	SWIFT25207647	0.000162628069604814	6150
456	SWIFT25207647	0	6150
457	SWIFT25207647	0.000162628069604814	6150
458	SWIFT25207647	0.000162628069604814	6150
459	SWIFT25207647	0.000162628069604814	6150
460	SWIFT25207647	0.000162628069604814	6150
461	SWIFT25207647	0.000325309043591412	6150
462	SWIFT25207647	0.000488042947779405	6150
463	SWIFT25207647	0	6150
464	SWIFT25207647	0.000162628069604814	6150
465	SWIFT25207647	0.000325309043591412	6150
466	SWIFT25207647	0.000325309043591412	6150
467	SWIFT25207647	0.000162628069604814	6150
468	SWIFT25207647	0.000650829808005207	6150
469	SWIFT25207647	0.000325309043591412	6150
470	SWIFT25207647	0.000488042947779405	6150
471	SWIFT25207647	0	6150
472	SWIFT25207647	0	6150
473	SWIFT25207647	0.000488042947779405	6150
474	SWIFT25207647	0.000488042947779405	6150
475	SWIFT25207647	0.000488042947779405	6150
476	SWIFT25207647	0	6150
477	SWIFT25207647	0.000325309043591412	6150
478	SWIFT25207647	0.000162628069604814	6150
479	SWIFT25207647	0.00408163265306122	6150
480	SWIFT25207647	0.00146555935515388	6150
481	SWIFT25207647	0.000488042947779405	6150
482	SWIFT25207647	0	6150
483	SWIFT25207647	0.00179182277243851	6150
484	SWIFT25207647	0.00081366965012205	6150
485	SWIFT25207647	0.000325309043591412	6150
486	SWIFT25207647	0.000325309043591412	6150
487	SWIFT25207647	0	6150
488	SWIFT25207647	0.000162628069604814	6150
489	SWIFT25207647	0.000325309043591412	6150
490	SWIFT25207647	0.000650829808005207	6150
491	SWIFT25207647	0.000650829808005207	6150
492	SWIFT25207647	0	6150
493	SWIFT25207647	0	6150
494	SWIFT25207647	0.000325309043591412	6150
495	SWIFT25207647	0.000650829808005207	6150
496	SWIFT25207647	0.000162628069604814	6150
497	SWIFT25207647	0.000488042947779405	6150
498	SWIFT25207647	0	6150
499	SWIFT25207647	0.00081366965012205	6150
500	SWIFT25207647	0.00162866449511401	6150
501	SWIFT25207647	0	6150
502	SWIFT25207647	0	6150
503	SWIFT25207647	0.000162628069604814	6150
504	SWIFT25207647	0	6150
505	SWIFT25207647	0.000231875096614624	12941
506	SWIFT25207647	0	12943
507	SWIFT25207647	0.00395563484061118	12944
508	SWIFT25207647	0.00123752803774461	12945
509	SWIFT25207647	0.000767872226061583	13033
510	SWIFT25207647	0.000153280196198651	13050
511	SWIFT25207647	0.000228015505054344	13160
512	SWIFT25207647	0.000455546275909194	13177
513	SWIFT25207647	0.000835421888053467	13178
514	SWIFT25207647	0.00442073170731707	13178
515	SWIFT25207647	0.000303582270795386	13180
516	SWIFT25207647	0.00167198662410701	13180
517	SWIFT25207647	0.00129149889842741	13180
518	SWIFT25207647	0.00121543603767852	13180
519	SWIFT25207647	0.000759013282732448	13185
520	SWIFT25207647	0.000303467111751764	13185
521	SWIFT25207647	7.58610226065847e-05	13183
522	SWIFT25207647	0.00060725671777744	13182
523	SWIFT25207647	0.000683423190826942	13178
524	SWIFT25207647	0	13168
525	SWIFT25207647	7.5947444368497e-05	13168
526	SWIFT25207647	7.59532128209023e-05	13167
527	SWIFT25207647	0.000151917964299278	13167
528	SWIFT25207647	0	7041
529	SWIFT25207647	0.000284131268646114	7041
530	SWIFT25207647	0.000568424044337075	7041
531	SWIFT25207647	0.000995166334944555	7041
532	SWIFT25207647	0.000995166334944555	7041
533	SWIFT25207647	0	7041
534	SWIFT25207647	0.000142045454545455	7041
535	SWIFT25207647	0	7041
536	SWIFT25207647	0.000284131268646114	7041
537	SWIFT25207647	0.000142045454545455	7041
538	SWIFT25207647	0.000568424044337075	7041
539	SWIFT25207647	0	7041
540	SWIFT25207647	0.000284131268646114	7041
541	SWIFT25207647	0	7041
542	SWIFT25207647	0.000142045454545455	7041
543	SWIFT25207647	0.00384944396920445	7041
544	SWIFT25207647	0.000995166334944555	7041
545	SWIFT25207647	0.000284131268646114	7041
546	SWIFT25207647	0.00113749466799374	7041
547	SWIFT25207647	0.000142045454545455	7041
548	SWIFT25207647	0.000142045454545455	7041
549	SWIFT25207647	0.00142227279192149	7041
550	SWIFT25207647	0.00513918629550321	7041
551	SWIFT25207647	0.000284131268646114	7041
552	SWIFT25207647	0.000852878464818763	7041
553	SWIFT25207647	0.000284131268646114	7041
554	SWIFT25207647	0.000710631040363843	7041
555	SWIFT25207647	0.000284131268646114	7041
556	SWIFT25207647	0	7041
557	SWIFT25207647	0.000284131268646114	7041
558	SWIFT25207647	0.000142045454545455	7041
559	SWIFT25207647	0.000995166334944555	7041
560	SWIFT25207647	0.000284131268646114	7041
561	SWIFT25207647	0	7041
562	SWIFT25207647	0.000710631040363843	7041
563	SWIFT25207647	0.000995166334944555	7041
564	SWIFT25207647	0	7041
565	SWIFT25207647	0	7041
566	SWIFT25207647	0.000142045454545455	7041
567	SWIFT25207647	0.00127986348122867	7041
568	SWIFT25207647	0.000710631040363843	7041
569	SWIFT25207647	0	7041
570	SWIFT25207647	0	7041
571	SWIFT25207647	0	7041
572	SWIFT25207647	0.000142045454545455	7041
573	SWIFT25207647	0.000142045454545455	7041
574	SWIFT25207647	0	7041
575	SWIFT25207647	0.000284131268646114	7041
576	SWIFT25207647	0.000284131268646114	7041
577	SWIFT25207647	0.000142045454545455	7041
578	SWIFT25207647	0.000284131268646114	7041
579	SWIFT25207647	0.00142227279192149	7041
580	SWIFT25207647	0.000568424044337075	7041
581	SWIFT25207647	0.000568424044337075	7041
582	SWIFT25207647	0.000995166334944555	7041
583	SWIFT25207647	0	7041
584	SWIFT25207647	0.000852878464818763	7041
585	SWIFT25207647	0.00142227279192149	7041
586	SWIFT25207647	0.000142045454545455	7041
587	SWIFT25207647	0	7041
588	SWIFT25207647	0.000426257459505541	7041
589	SWIFT25207647	0	7041
590	SWIFT25207647	0.000142045454545455	7041
591	SWIFT25207647	0.000284131268646114	7041
592	SWIFT25207647	0.00113749466799374	7041
593	SWIFT25207647	0.000142045454545455	7041
594	SWIFT25207647	0.000426257459505541	7041
595	SWIFT25207647	0.0015647226173542	7041
596	SWIFT25207647	0.000426257459505541	7041
597	SWIFT25207647	0.000142045454545455	7041
598	SWIFT25207647	0.000814995925020375	12280
599	SWIFT25207647	0	12284
600	SWIFT25207647	0	12285
601	SWIFT25207647	8.1406707912732e-05	12285
602	SWIFT25207647	0.000325759426663409	12283
603	SWIFT25207647	0.000651943606878005	12279
604	SWIFT25207647	0.00122508983992159	12259
605	SWIFT25207647	0.000326717307849383	12247
606	SWIFT25207647	0.00049031625398382	12243
607	SWIFT25207647	0.000245138094459879	12241
608	SWIFT25207647	0.000163505559189012	12234
609	SWIFT25207647	0	5258
610	SWIFT25207647	0.0026697177726926	5258
611	SWIFT25207647	0.00152468076996379	5255
612	SWIFT25207647	0.000761759664825747	5255
613	SWIFT25207647	0.000190331176246669	5255
614	SWIFT25207647	0	5255
615	SWIFT25207647	0.000380734818199124	5255
616	SWIFT25207647	0.004972270032511	5255
617	SWIFT25207647	0.000190331176246669	5255
618	SWIFT25207647	0.000190331176246669	5255
619	SWIFT25207647	0.000190331176246669	5255
620	SWIFT25207647	0	5255
621	SWIFT25207647	0	5255
622	SWIFT25207647	0	5255
623	SWIFT25207647	0.000190331176246669	5255
624	SWIFT25207647	0.000380734818199124	5255
625	SWIFT25207647	0.00171559283263439	5255
626	SWIFT25207647	0	5255
627	SWIFT25207647	0.000190331176246669	5255
628	SWIFT25207647	0.000761759664825747	5255
629	SWIFT25207647	0.000952380952380952	5255
630	SWIFT25207647	0.000380734818199124	5255
631	SWIFT25207647	0.000761759664825747	5255
632	SWIFT25207647	0.000190331176246669	5255
633	SWIFT25207647	0.00133384146341463	5255
634	SWIFT25207647	0.000190331176246669	5255
635	SWIFT25207647	0.000190331176246669	5255
636	SWIFT25207647	0.00114307487140408	5255
637	SWIFT25207647	0	5255
638	SWIFT25207647	0.000380734818199124	5255
639	SWIFT25207647	0.000761759664825747	5255
640	SWIFT25207647	0.000380734818199124	5255
641	SWIFT25207647	0.000571210967250571	5255
642	SWIFT25207647	0.000380734818199124	5255
